90,Argentina,arg,Latin America & Caribbean ,Upper middle income,Buenos Aires,-58.4173,-34.6118
92,Chile,chl,Latin America & Caribbean ,High income,Santiago,-70.6475,-33.475
99,El Salvador,slv,Latin America & Caribbean ,Lower middle income,San Salvador,-89.2073,13.7034
100,Honduras,hnd,Latin America & Caribbean ,Lower middle income,Tegucigalpa,-87.4667,15.1333
103,Syrian Arab Republic,syr,Middle East & North Africa,Low income,Damascus,36.3119,33.5146
106,"Venezuela, RB",ven,Latin America & Caribbean ,Upper middle income,Caracas,-69.8371,9.08165
130,Bhutan,btn,South Asia,Lower middle income,Thimphu,89.6177,27.5768
133,Uganda,uga,Sub-Saharan Africa ,Low income,Kampala,32.5729,0.314269
135,Nigeria,nga,Sub-Saharan Africa ,Lower middle income,Abuja,7.48906,9.05804
138,Malaysia,mys,East Asia & Pacific,Upper middle income,Kuala Lumpur,101.684,3.12433
141,Colombia,col,Latin America & Caribbean ,Upper middle income,Bogota,-74.082,4.60987
154,Tunisia,tun,Middle East & North Africa,Lower middle income,Tunis,10.21,36.7899
157,Botswana,bwa,Sub-Saharan Africa ,Upper middle income,Gaborone,25.9201,-24.6544
161,New Caledonia,ncl,East Asia & Pacific,High income,Noum'ea,166.464,-22.2677
174,"Iran, Islamic Rep.",irn,Middle East & North Africa,Upper middle income,Tehran,51.4447,35.6878
209,Spain,esp,Europe & Central Asia,High income,Madrid,-3.70327,40.4167
212,Togo,tgo,Sub-Saharan Africa ,Low income,Lome,1.2255,6.1228
224,United Kingdom,gbr,Europe & Central Asia,High income,London,-0.126236,51.5002
225,Finland,fin,Europe & Central Asia,High income,Helsinki,24.9525,60.1608
228,Germany,deu,Europe & Central Asia,High income,Berlin,13.4115,52.5235
238,Thailand,tha,East Asia & Pacific,Upper middle income,Bangkok,100.521,13.7308
250,Sierra Leone,sle,Sub-Saharan Africa ,Low income,Freetown,-13.2134,8.4821
253,Latvia,lva,Europe & Central Asia,High income,Riga,24.1048,56.9465
256,Ireland,irl,Europe & Central Asia,High income,Dublin,-6.26749,53.3441
257,Hungary,hun,Europe & Central Asia,High income,Budapest,19.0408,47.4984
260,Azerbaijan,aze,Europe & Central Asia,Upper middle income,Baku,49.8932,40.3834
262,Panama,pan,Latin America & Caribbean ,High income,Panama City,-79.5188,8.99427
327,Mexico,mex,Latin America & Caribbean ,Upper middle income,Mexico City,-99.1276,19.427
373,Vietnam,vnm,East Asia & Pacific,Lower middle income,Hanoi,105.825,21.0069
435,Suriname,sur,Latin America & Caribbean ,Upper middle income,Paramaribo,-55.1679,5.8232
466,Mongolia,mng,East Asia & Pacific,Lower middle income,Ulaanbaatar,106.937,47.9129
489,Japan,jpn,East Asia & Pacific,High income,Tokyo,139.77,35.67
495,Costa Rica,cri,Latin America & Caribbean ,Upper middle income,San Jose,-84.0089,9.63701
503,Israel,isr,Middle East & North Africa,High income,,35.2035,31.7717
529,Cambodia,khm,East Asia & Pacific,Lower middle income,Phnom Penh,104.874,11.5556
530,Norway,nor,Europe & Central Asia,High income,Oslo,10.7387,59.9138
531,Sweden,swe,Europe & Central Asia,High income,Stockholm,18.0645,59.3327
545,Palau,plw,East Asia & Pacific,High income,Koror,134.479,7.34194
594,Lao PDR,lao,East Asia & Pacific,Lower middle income,Vientiane,102.177,18.5826
608,Paraguay,pry,Latin America & Caribbean ,Upper middle income,Asuncion,-57.6362,-25.3005
630,Lithuania,ltu,Europe & Central Asia,High income,Vilnius,25.2799,54.6896
633,Timor-Leste,tls,East Asia & Pacific,Lower middle income,Dili,125.567,-8.56667
790,Afghanistan,afg,South Asia,Low income,Kabul,69.1761,34.5228
801,Mauritania,mrt,Sub-Saharan Africa ,Lower middle income,Nouakchott,-15.9824,18.2367
901,Central African Republic,caf,Sub-Saharan Africa ,Low income,Bangui,21.6407,5.63056
909,Italy,ita,Europe & Central Asia,High income,Rome,12.4823,41.8955
910,Pakistan,pak,South Asia,Lower middle income,Islamabad,72.8,30.5167
961,Guyana,guy,Latin America & Caribbean ,Upper middle income,Georgetown,-58.1548,6.80461
997,Oman,omn,Middle East & North Africa,High income,Muscat,58.5874,23.6105
1017,French Polynesia,pyf,East Asia & Pacific,High income,Papeete,-149.57,-17.535
1030,Greece,grc,Europe & Central Asia,High income,Athens,23.7166,37.9792
1032,Sri Lanka,lka,South Asia,Upper middle income,Colombo,79.8528,6.92148
1088,Bulgaria,bgr,Europe & Central Asia,Upper middle income,Sofia,23.3238,42.7105
1089,Romania,rou,Europe & Central Asia,Upper middle income,Bucharest,26.0979,44.4479
1100,"Yemen, Rep.",yem,Middle East & North Africa,Low income,Sana'a,44.2075,15.352
1103,Guinea-Bissau,gnb,Sub-Saharan Africa ,Low income,Bissau,-15.1804,11.8037
1104,Senegal,sen,Sub-Saharan Africa ,Lower middle income,Dakar,-17.4734,14.7247
1145,"Micronesia, Fed. Sts.",fsm,East Asia & Pacific,Lower middle income,Palikir,158.185,6.91771
1164,Georgia,geo,Europe & Central Asia,Upper middle income,Tbilisi,44.793,41.71
1282,Ghana,gha,Sub-Saharan Africa ,Lower middle income,Accra,-0.20795,5.57045
1397,Greenland,grl,Europe & Central Asia,High income,Nuuk,-51.7214,64.1836
1399,Gabon,gab,Sub-Saharan Africa ,Upper middle income,Libreville,9.45162,0.38832
1420,Tajikistan,tjk,Europe & Central Asia,Low income,Dushanbe,68.7864,38.5878
1458,Guatemala,gtm,Latin America & Caribbean ,Upper middle income,Guatemala City,-90.5328,14.6248
1496,Cyprus,cyp,Europe & Central Asia,High income,Nicosia,33.3736,35.1676
1583,Benin,ben,Sub-Saharan Africa ,Low income,Porto-Novo,2.6323,6.4779
1613,Libya,lby,Middle East & North Africa,Upper middle income,Tripoli,13.1072,32.8578
1639,Algeria,dza,Middle East & North Africa,Upper middle income,Algiers,3.05097,36.7397
1685,Equatorial Guinea,gnq,Sub-Saharan Africa ,Upper middle income,Malabo,8.7741,3.7523
1696,Mali,mli,Sub-Saharan Africa ,Low income,Bamako,-7.50034,13.5667
1748,"Congo, Rep.",cog,Sub-Saharan Africa ,Lower middle income,Brazzaville,15.2662,-4.2767
