ID,Name,Countries,Country Codes,ISO639-3 Codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Description of the location
465,Arman,Russian Federation,RUS,eve,Extinct,0,59.6732,150.1391,поселки Ола и Армань Ольского района Магаданской области; an extinct outlying dialect of Even not listed separately by the SIL
1432,Ongkor Solon,China,CHN,"evn, orh",Extinct,0,46.7774,83.0456,Kazakh Autonomous District in Xinjiang Uygur Autonomous Region; an extinct outlying dialect of Solon
150,Eyak,United States of America,USA,eya,Extinct,0,60.2165,-143.3935,
2049,Siraiya,China,CHN,fos,Extinct,0,23.0013,120.3634,Taiwan Province
180,Gaagudju,Australia,AUS,gbu,Extinct,0,-12.2755,132.6379,
189,Kurtjar,Australia,AUS,gdj,Extinct,0,-18.0623,140.4052,
2671,Getmata,Papua New Guinea,PNG,get,Extinct,0,-5.8346,149.0405,West New Britain
1687,Ge'ez,Ethiopia,ETH,gez,Extinct,0,8.9936,38.7597,
89,Gafat,Ethiopia,ETH,gft,Extinct,0,10.6768,35.8264,
2632,Guliguli,Solomon Islands,SLB,gli,Extinct,0,-8.2114,157.4615,Western New Georgia
68,Gule,Sudan,SDN,gly,Extinct,0,10.0986,34.1235,
42,Gey,Cameroon,CMR,guv,Extinct,0,9.384,13.5296,
59,Homa,Sudan,SDN,hom,Extinct,0,5.5011,27.3779,
1651,Horo,Chad,TCD,hor,Extinct,0,9.239,18.3444,
2219,Hpun,Myanmar,MMR,hpo,Extinct,0,24.65,97.0666,
1817,Huitoto (Brazil),Brazil,BRA,"hto, huu, hux",Extinct,0,-2.3723,-66.0937,
2592,Hukumina,Indonesia,IDN,huw,Extinct,0,-3.1514,126.2713,"Buru Island, Maluku"
2642,Ifo,Vanuatu,VUT,iff,Extinct,0,-18.6605,169.1434,Northeastern Erromanga Island
854,Ineseño,United States of America,USA,inz,Extinct,0,34.5942,-120.1371,
696,Judeo-Berber (Morocco),Morocco,MAR,jbe,Extinct,0,30.822,-6.8005,"Several areas in the Higher and the Middle Atlas (Sous): the Ouarzazate area, and Boumalne Dades, Imini, Tinghir (Tinerhir), in the Draa valley
Between Tiznit and Tafraout, around Ouijjane"
111,Li-Ngbee,Democratic Republic of the Congo,ZAI,jgb,Extinct,0,2.4931,28.059,
1925,Jorá,Bolivia (Plurinational State of),BOL,jor,Critically endangered,0,-14.0246,-63.3581,
2050,Ketangalan,China,CHN,kae,Extinct,0,25.0433,121.4813,Taiwan Province
677,Southern Khanty,Russian Federation,RUS,kca,Extinct,0,60.4301,69.9829,"the lower Irtysh basin and on its tributaries, within Uvat County in Tyumen’ Province and Konda and Khanty-Mansiysk counties in Khanty-Mansi Autonomous District"
341,Karaim (Crimea),Ukraine,UKR,kdr,Extinct,0,45.058,33.9477,Yevpatoriya region
1353,Kamas Turk,Russian Federation,RUS,kjh,Extinct,0,58.109,92.7101,Abalakovo village in Krasnoyarsk Region; an extinct outlying dialect of Khakas spoken by the last speakers of Kamas (Samoyed)
822,Klamath-Modoc,United States of America,USA,kla,Extinct,0,42.5767,-121.8637,"Klamaths were in south-central Oregon and the Modocs inf the Tule Lake area in adjacent northeastern California.  After the Modoc War of 1872-1873 some Modocs were taken to Oklahoma. Klamath survived until 2003 in and around the former reservation community of Chiloquin, Oregon."
1443,ǁKu ǁ'e,South Africa,ZAF,kqu,Extinct,0,-29.9739,27.0812,Border area of Lesotho and South Africa
1444,!Gan!ne,South Africa,ZAF,kqu,Extinct,0,-31.3911,26.6748,
479,Kerek,Russian Federation,RUS,krk,Extinct,0,62.5996,176.9183,"originally the Bering Sea coast between the Olyutor Bay and the Anadyr Bay, later only in the villages of Meynypil'gino and Khatyrka in Beringovskiy County in Chukchi Autonomous District"
1517,Karelian (Valday),Russian Federation,RUS,krl,Extinct,0,58.0284,33.3215,Valday region in Novgorod Province
1548,Kansa,United States of America,USA,ksk,Extinct,0,36.7657,-96.8652,"Kaw Nation at Kaw City, Oklahoma."
2675,Kaniet,Papua New Guinea,PNG,ktk,Extinct,0,-0.898,145.5441,"Anchorite and Kaniet Islands, Manus Province"
2091,Katabaga,Philippines,PHL,ktq,Extinct,0,13.4366,122.5569,
783,Kato,United States of America,USA,ktw,Extinct,0,39.677,-123.4944,
573,Atacameño,"Argentina, Bolivia (Plurinational State of), Chile","ARG, BOL, CHL",kuz,Extinct,0,-22.7559,-68.247,"Two areas: (1) San Pedro de Atacama, Toconao, Socaire, Peine; (2) Chiu-chiu, Caspana. Province of Antofagasta, between Calama and the Bolivian border. 
"
124,Kwadi,Angola,ANG,kwz,Extinct,0,-15.2523,12.2277,
808,Central Kalapuyan,United States of America,USA,kyl,Extinct,0,43.8,-123.06,
2634,Kazukuru,Solomon Islands,SLB,kzk,Extinct,0,-8.1598,157.4629,Western New Georgia
2596,Kayeli,Indonesia,IDN,kzl,Extinct,0,-3.39,127.1008,"Buru Island, Maluku"
2597,Liliali,Indonesia,IDN,kzl,Extinct,0,-3.39,127.1008,"Buru Island, Maluku"
2658,Aribwatsa,Papua New Guinea,PNG,laz,Extinct,0,-6.6523,147.2291,Lae town area
301,Lenca,"El Salvador, Honduras","SLV, HND",len,Extinct,0,13.6459,-87.0996,
2134,Laghu,Solomon Islands,SLB,lgb,Extinct,0,-7.6157,158.7359,Santa Isabel
1987,Mlahso (Turkey),Turkey,TUR,lhs,Extinct,0,38.4595,40.6507,originally two villages near Lice in Diyarbakır Province; all emigrated to Syria
2351,Mlahso (Syria),Syrian Arab Republic,SYR,lhs,Extinct,0,37.0542,41.2363,the émigré community in the town of Qamishli; cf. Mlahso (Turkey)
2202,Lishana Deni (Iraq),Iraq,IRQ,lsd,Extinct,0,36.9279,42.5115,Northwest Iraqi Kurdistan
825,Molala,United States of America,USA,mbe,Extinct,0,44.8636,-122.4645,"Along the western slopes of the Cascades Mountains, from the upper Rogue River to Mt. Hood area, OR."
319,Wanai,Venezuela (Bolivarian Republic of),VEN,mcg,Critically endangered,0,7.1117,-66.7199,"Municipality of La Urbana (in the western part of the state of Bolívar, near the Orinoco river)"
2687,Mulaha,Papua New Guinea,PNG,mfw,Extinct,0,-9.7002,147.4351,"Southeast of Gaile on the coast, Central Province"
209,Marrgu,Australia,AUS,mhg,Extinct,0,-11.3292,132.0227,
771,Miami-Illinois,United States of America,USA,mia,Extinct,0,36.8866,-94.8775,"Originally spoken in Illinois and northern Indiana, relocated to Oklahoma and Kansas."
630,Mirití Tapuia,Brazil,BRA,mmv,Critically endangered,0,0.3076,-69.1699,"The group lives in the indigenous lands Alto Rio Negro and Médio Rio Negro I and II, Municipalities of São Gabriel da Cachoeira and Santa Isabel do Rio Negro, north-western Amazonas State - Brazil."
678,Southern Mansi,Russian Federation,RUS,mns,Extinct,0,58.4362,65.5664,"earlier the southern parts of Yekaterinburg Province and adjacent parts of neighbouring regions extending to the west of the Urals; the last speakers lived in the region of the lower Tavda, a tributary to the lower Tobol’-Irtysh, in the border area of Nizhnyaya Tavda County in Tyumen’ Province and Tavda County in Yekaterinburg Province"
722,Western Mansi,Russian Federation,RUS,mns,Extinct,0,61.1432,62.4023,"the region of the source rivers of the Tavda, a tributary to the lower Tobol’-Irtysh, within Ivdel’ and Gari counties in Yekaterinburg Province"
2552,Mapia,Indonesia,IDN,mpy,Extinct,0,0.8321,134.3023,"Mapia Island, West Papua Province"
2647,Maragus,Vanuatu,VUT,mrs,Extinct,0,-16.0405,167.2778,Central North Malekula Island
1895,Matagalpa,Nicaragua,NIC,mtn,Extinct,0,12.9517,-85.4381,Department of Matagalpa
94,Yaaku,Kenya,KEN,muu,Extinct,0,0.4394,37.1777,
781,Mattole,United States of America,USA,mvb,Extinct,0,39.1375,-123.6931,"Along the Mattole and Bear Rivers near Cape Mendocino, CA."
1838,Múra,Brazil,BRA,myp,Extinct,0,-3.3598,-59.2382,
2601,Naka'ela,Indonesia,IDN,nae,Extinct,0,-2.847,128.5208,"Seram Island, Maluku"
135,Cape Khoekhoe,South Africa,ZAF,naq,Extinct,0,-34.4522,19.7314,
2086,Wangkumara,Australia,AUS,nbx,Critically endangered,0,-27.2064,142.4597,
901,Natchez,United States of America,USA,ncz,Extinct,0,31.5544,-91.3875,"Along Mississippi River near Natchez, Mississippi"
131,|'Auni,South Africa,ZAF,ngh,Extinct,0,-26.0105,20.363,
35,Nagumi,Cameroon,CMR,ngv,Extinct,0,8.6814,13.1835,
2073,Dharug,Australia,AUS,nil,Critically endangered,0,-34.0344,150.9301,
2603,Nila (Nila Island),Indonesia,IDN,nil,Extinct,0,-6.7331,129.5288,"Transmigration from Nila Island to Seram Island, Maluku, because of volcanic activity"
682,Ngarla,Australia,AUS,nlr,Extinct,0,-20.5916,119.0917,
39,Ngong,Cameroon,CMR,nnx,Extinct,0,9.0044,13.5104,
958,Nooksack,United States of America,USA,nok,Extinct,0,49.0378,-122.4865,
1257,Nupbikha,Bhutan,BTN,npb,Vulnerable,0,27.3937,90.5003,"Bumthang district, area around Trongsa town"
813,Nisenan,United States of America,USA,nsz,Extinct,0,38.7654,-121.0064,
603,Nukiní,Brazil,BRA,nuc,Extinct,0,-7.4931,-73.4765,
105,Nyang'i,Uganda,UGA,nyp,Extinct,0,3.5024,33.3764,
852,Obispeño,United States of America,USA,obi,Extinct,0,35.2692,-120.6707,
31,Odut,Nigeria,NGA,oda,Extinct,0,5.3077,8.2672,
1782,Omagua (Brazil),Brazil,BRA,omg,Critically endangered,0,-3.5572,-64.5117,
639,Ona,Argentina,ARG,ona,Extinct,0,-54.6229,-67.4121,"Patagonia, Tierra del Fuego. Formerly also in Chile"
2281,Orang Kanaq,Malaysia,MYS,orn,Extinct,0,1.8858,103.9814,
833,Eastern Pomo,United States of America,USA,peb,Extinct,0,39.0461,-122.9211,
831,Northeastern Pomo,United States of America,USA,pef,Extinct,0,39.3774,-122.5454,
645,Pijao,Colombia,COL,pij,Extinct,0,3.9519,-75.0146,In the department of Tolima (Colombia).
2606,Palumata,Indonesia,IDN,pmc,Extinct,0,-3.1569,126.0516,"Buru Island, Maluku"
962,Panobo,Peru,PER,pno,Extinct,0,-6.97,-74.9267,"Departamento de Ucayali, cuenca del río Ucayali."
