373,Vietnam,VNM,East Asia & Pacific,Lower middle income,Hanoi,105.825,21.0069
435,Suriname,SUR,Latin America & Caribbean ,Upper middle income,Paramaribo,-55.1679,5.8232
466,Mongolia,MNG,East Asia & Pacific,Lower middle income,Ulaanbaatar,106.937,47.9129
489,Japan,JPN,East Asia & Pacific,High income,Tokyo,139.77,35.67
495,Costa Rica,CRI,Latin America & Caribbean ,Upper middle income,San Jose,-84.0089,9.63701
503,Israel,ISR,Middle East & North Africa,High income,,35.2035,31.7717
529,Cambodia,KHM,East Asia & Pacific,Lower middle income,Phnom Penh,104.874,11.5556
530,Norway,NOR,Europe & Central Asia,High income,Oslo,10.7387,59.9138
531,Sweden,SWE,Europe & Central Asia,High income,Stockholm,18.0645,59.3327
545,Palau,PLW,East Asia & Pacific,High income,Koror,134.479,7.34194
594,Lao PDR,LAO,East Asia & Pacific,Lower middle income,Vientiane,102.177,18.5826
608,Paraguay,PRY,Latin America & Caribbean ,Upper middle income,Asuncion,-57.6362,-25.3005
630,Lithuania,LTU,Europe & Central Asia,High income,Vilnius,25.2799,54.6896
633,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Dili,125.567,-8.56667
790,Afghanistan,AFG,South Asia,Low income,Kabul,69.1761,34.5228
801,Mauritania,MRT,Sub-Saharan Africa ,Lower middle income,Nouakchott,-15.9824,18.2367
901,Central African Republic,CAF,Sub-Saharan Africa ,Low income,Bangui,21.6407,5.63056
909,Italy,ITA,Europe & Central Asia,High income,Rome,12.4823,41.8955
910,Pakistan,PAK,South Asia,Lower middle income,Islamabad,72.8,30.5167
961,Guyana,GUY,Latin America & Caribbean ,Upper middle income,Georgetown,-58.1548,6.80461
997,Oman,OMN,Middle East & North Africa,High income,Muscat,58.5874,23.6105
1017,French Polynesia,PYF,East Asia & Pacific,High income,Papeete,-149.57,-17.535
1030,Greece,GRC,Europe & Central Asia,High income,Athens,23.7166,37.9792
1032,Sri Lanka,LKA,South Asia,Upper middle income,Colombo,79.8528,6.92148
1088,Bulgaria,BGR,Europe & Central Asia,Upper middle income,Sofia,23.3238,42.7105
1089,Romania,ROU,Europe & Central Asia,Upper middle income,Bucharest,26.0979,44.4479
1100,"Yemen, Rep.",YEM,Middle East & North Africa,Low income,Sana'a,44.2075,15.352
1103,Guinea-Bissau,GNB,Sub-Saharan Africa ,Low income,Bissau,-15.1804,11.8037
1104,Senegal,SEN,Sub-Saharan Africa ,Lower middle income,Dakar,-17.4734,14.7247
1145,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,Palikir,158.185,6.91771
1164,Georgia,GEO,Europe & Central Asia,Upper middle income,Tbilisi,44.793,41.71
1282,Ghana,GHA,Sub-Saharan Africa ,Lower middle income,Accra,-0.20795,5.57045
1397,Greenland,GRL,Europe & Central Asia,High income,Nuuk,-51.7214,64.1836
1399,Gabon,GAB,Sub-Saharan Africa ,Upper middle income,Libreville,9.45162,0.38832
1420,Tajikistan,TJK,Europe & Central Asia,Low income,Dushanbe,68.7864,38.5878
1458,Guatemala,GTM,Latin America & Caribbean ,Upper middle income,Guatemala City,-90.5328,14.6248
1496,Cyprus,CYP,Europe & Central Asia,High income,Nicosia,33.3736,35.1676
1583,Benin,BEN,Sub-Saharan Africa ,Low income,Porto-Novo,2.6323,6.4779
1613,Libya,LBY,Middle East & North Africa,Upper middle income,Tripoli,13.1072,32.8578
1639,Algeria,DZA,Middle East & North Africa,Upper middle income,Algiers,3.05097,36.7397
1685,Equatorial Guinea,GNQ,Sub-Saharan Africa ,Upper middle income,Malabo,8.7741,3.7523
1696,Mali,MLI,Sub-Saharan Africa ,Low income,Bamako,-7.50034,13.5667
1748,"Congo, Rep.",COG,Sub-Saharan Africa ,Lower middle income,Brazzaville,15.2662,-4.2767
1753,Uruguay,URY,Latin America & Caribbean ,High income,Montevideo,-56.0675,-34.8941
1771,Fiji,FJI,East Asia & Pacific,Upper middle income,Suva,178.399,-18.1149
1782,Eritrea,ERI,Sub-Saharan Africa ,Low income,Asmara,38.9183,15.3315
1789,Belize,BLZ,Latin America & Caribbean ,Upper middle income,Belmopan,-88.7713,17.2534
1917,North Macedonia,MKD,Europe & Central Asia,Upper middle income,Skopje,21.4361,42.0024
1926,Namibia,NAM,Sub-Saharan Africa ,Upper middle income,Windhoek,17.0931,-22.5648
1937,Bangladesh,BGD,South Asia,Lower middle income,Dhaka,90.4113,23.7055
1963,Nauru,NRU,East Asia & Pacific,Upper middle income,Yaren District,166.920867,-0.5477
2012,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Tashkent,69.269,41.3052
2038,Burkina Faso,BFA,Sub-Saharan Africa ,Low income,Ouagadougou,-1.53395,12.3605
2137,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,Ashgabat,58.3794,37.9509
2152,Tuvalu,TUV,East Asia & Pacific,Upper middle income,Funafuti,179.089567,-8.6314877
2246,Aruba,,Latin America & Caribbean ,High income,Oranjestad,-70.0167,12.5167
2294,Serbia,SRB,Europe & Central Asia,Upper middle income,Belgrade,20.4656,44.8024
2327,Austria,AUT,Europe & Central Asia,High income,Vienna,16.3798,48.2201
2329,Slovak Republic,SVK,Europe & Central Asia,High income,Bratislava,17.1073,48.1484
2382,Switzerland,CHE,Europe & Central Asia,High income,Bern,7.44821,46.948
2406,Niger,NER,Sub-Saharan Africa ,Low income,Niamey,2.1073,13.514
2409,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,Astana,71.4382,51.1879
2410,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,Bishkek,74.6057,42.8851
2414,Lesotho,LSO,Sub-Saharan Africa ,Lower middle income,Maseru,27.7167,-29.5208
2434,Estonia,EST,Europe & Central Asia,High income,Tallinn,24.7586,59.4392
2459,Faroe Islands,FRO,Europe & Central Asia,High income,Torshavn,-6.91181,61.8926
2468,Guam,GUM,East Asia & Pacific,High income,Agana,144.794,13.4443
2476,New Zealand,NZL,East Asia & Pacific,High income,Wellington,174.776,-41.2865
2518,France,FRA,Europe & Central Asia,High income,Paris,2.35097,48.8566
2557,Portugal,PRT,Europe & Central Asia,High income,Lisbon,-9.13552,38.7072
2575,Moldova,MDA,Europe & Central Asia,Lower middle income,Chisinau,28.8497,47.0167
2585,Lebanon,LBN,Middle East & North Africa,Upper middle income,Beirut,35.5134,33.8872
2598,Armenia,ARM,Europe & Central Asia,Upper middle income,Yerevan,44.509,40.1596
2621,Jordan,JOR,Middle East & North Africa,Upper middle income,Amman,35.9263,31.9497
2645,Netherlands,NLD,Europe & Central Asia,High income,Amsterdam,4.89095,52.3738
2650,Belgium,BEL,Europe & Central Asia,High income,Brussels,4.36761,50.8371
2652,Luxembourg,LUX,Europe & Central Asia,High income,Luxembourg,6.1296,49.61
2678,Albania,ALB,Europe & Central Asia,Upper middle income,Tirane,19.8172,41.3317
2711,Barbados,BRB,Latin America & Caribbean ,High income,Bridgetown,-59.6105,13.0935
2723,Monaco,MCO,Europe & Central Asia,High income,Monaco,7.41891,43.7325
2757,San Marino,SMR,Europe & Central Asia,High income,San Marino,12.4486,43.9322
2761,Slovenia,SVN,Europe & Central Asia,High income,Ljubljana,14.5044,46.0546
2777,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,Sarajevo,18.4214,43.8607
2797,Czech Republic,CZE,Europe & Central Asia,High income,Prague,14.4205,50.0878
2801,Montenegro,MNE,Europe & Central Asia,Upper middle income,Podgorica,19.2595,42.4602
2809,Denmark,DNK,Europe & Central Asia,High income,Copenhagen,12.5681,55.6763
2875,Liechtenstein,LIE,Europe & Central Asia,High income,Vaduz,9.52148,47.1411
2971,West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,,,
3076,"Korea, Rep.",KOR,East Asia & Pacific,High income,Seoul,126.957,37.5323
